i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
211	-1759.78329241	-4761.38566453	-1780.94985821	-1720.01540369	-4786.67614031	-1835.92155314	39.767888714	-25.2904757785	-54.9716949271
212	-1623.43345257	-4604.70386702	-1768.88623597	-1527.96318116	-4550.83078152	-1729.88092645	95.4702714106	53.8730854946	39.005309515
213	-1494.32397064	-4452.93916193	-1755.44414356	-1555.6484829	-4489.50918866	-1768.00240633	-61.3245122516	-36.5700267281	-12.5582627688
214	-1372.12288974	-4306.0597292	-1740.80166206	-1332.64817113	-4340.1807309	-1787.79008404	39.4747186133	-34.1210017025	-46.9884219814
215	-1256.50075353	-4164.0078956	-1725.12004938	-1311.12318624	-4135.89494255	-1739.91507	-54.6224327142	28.1129530538	-14.7950206136
216	-1147.13346535	-4026.70501143	-1708.54493731	-1118.72178325	-4008.41955896	-1608.93505082	28.4116820968	18.2854524759	99.6098864901
217	-1043.70451095	-3894.05567473	-1691.20751907	-951.45684052	-3884.3691306	-1686.67755401	92.2476704297	9.68654412662	4.52996505853
218	-945.906643763	-3765.95136699	-1673.22570658	-964.296090191	-3790.9743698	-1641.65403411	-18.3894464286	-25.023002816	31.5716724748
219	-853.443120566	-3642.27356271	-1654.70524232	-879.053442571	-3733.9508505	-1614.31250029	-25.6103220045	-91.6772877953	40.3927420268
220	-766.028564285	-3522.89637257	-1635.74075563	-670.636982964	-3567.26684203	-1554.07678462	95.3915813211	-44.370469457	81.6639710092
221	-683.389520469	-3407.68877599	-1616.41675723	-638.059720963	-3371.186149	-1654.07262323	45.3297995057	36.5026269851	-37.6558659939
222	-605.264764586	-3296.51649447	-1596.80856841	-615.792738093	-3207.63097039	-1533.80280907	-10.5279735069	88.8855240871	63.0057593405
223	-531.40540883	-3189.24355264	-1576.98318382	-524.793873075	-3265.70366553	-1559.26447935	6.61153575523	-76.4601128969	17.7187044708
224	-461.574849592	-3085.7335688	-1557.00006846	-402.34670783	-3134.73590961	-1646.93591704	59.2281417618	-49.0023408119	-89.9358485709
225	-395.548590178	-2985.85081278	-1536.91189043	-346.061620197	-2951.70334973	-1548.35781137	49.4869699813	34.1474630539	-11.4459209396
226	-333.11396762	-2889.46106411	-1516.76519226	-416.013165701	-2946.79540081	-1489.94388759	-82.8991980813	-57.3343367003	26.8213046666
227	-274.06980744	-2796.43229982	-1496.60100381	-302.091323621	-2746.11355681	-1580.63568356	-28.0215161805	50.3187430108	-84.034679749
228	-218.226026064	-2706.63523751	-1476.45540044	-225.914025987	-2642.28737605	-1422.80551459	-7.68799992318	64.3478614608	53.6498858531
229	-165.403196909	-2619.94375584	-1456.36000991	-154.867098556	-2610.71794072	-1519.67725214	10.5360983527	9.2258151209	-63.317242227
230	-115.432093185	-2536.23521183	-1436.34247192	-120.051288651	-2450.23565203	-1527.79259321	-4.61919546584	85.999559791	-91.4501212894
231	-68.1532178566	-2455.39067157	-1416.42685393	-89.3732873625	-2487.71655077	-1323.12114629	-21.2200695059	-32.3258792033	93.3057076402
232	-23.4163290835	-2377.29506885	-1396.6340268	-94.4607896323	-2422.55004889	-1398.36348864	-71.0444605489	-45.2549800449	-1.72946184163
233	18.9200323056	-2301.83730376	-1376.98200368	35.1060302129	-2350.26432701	-1315.14952759	16.1859979073	-48.4270232511	61.832476086
234	58.9890082483	-2228.91029201	-1357.48624543	81.8370260609	-2245.50750152	-1278.84826776	22.8480178126	-16.5972095025	78.6379776679
235	96.9158779302	-2158.4109738	-1338.15993555	106.915310522	-2179.36216241	-1427.04750366	9.99943259151	-20.951188609	-88.8875681183
236	132.818498446	-2090.24028988	-1319.01422741	42.7422488104	-2104.54881585	-1385.65052571	-90.0762496361	-14.3085259754	-66.6362982945
237	166.807729588	-2024.30313128	-1300.05846652	136.360886916	-2045.43854692	-1213.79942229	-30.4468426725	-21.1354156345	86.2590442283
238	198.987841347	-1960.50826815	-1281.30038999	230.589793313	-2010.16663959	-1213.07676501	31.6019519659	-49.6583714483	68.2236249803
239	229.456903262	-1898.7682622	-1262.74630573	277.048390169	-1946.66228663	-1181.52451798	47.5914869071	-47.8940244266	81.2217877507
240	258.307155144	-1838.99936678	-1244.40125299	280.433041474	-1812.33965528	-1217.43898586	22.1258863299	26.6597114973	26.9622671274
241	285.625359047	-1781.12141758	-1226.26914643	327.433880335	-1707.91969033	-1209.11163333	41.8085212886	73.2017272448	17.1575131047
242	311.493132618	-1725.05771676	-1208.35290515	332.117009917	-1685.09409029	-1235.44374532	20.6238772989	39.963626476	-27.0908401717
243	335.987264139	-1670.73491277	-1190.65456825	321.817565649	-1583.5058054	-1154.75159773	-14.1696984903	87.2291073723	35.902970516
244	359.180009737	-1618.08287747	-1173.17539835	339.142498014	-1525.72780193	-1165.22728176	-20.0375117228	92.3550755338	7.94811659023
245	381.139373347	-1567.03458229	-1155.91597418	319.164654415	-1499.65296702	-1221.10316577	-61.9747189319	67.3816152682	-65.1871915989
246	401.929370074	-1517.52597447	-1138.87627337	351.789969932	-1524.0479152	-1119.97515063	-50.1394001426	-6.52194073315	18.9011227468
247	421.610273679	-1469.49585444	-1122.05574663	412.271614719	-1545.24303189	-1119.35448477	-9.3386589606	-75.747177454	2.70126186276
248	440.238848908	-1422.88575505	-1105.45338385	395.670297964	-1435.15181396	-1126.82665968	-44.5685509439	-12.2660589155	-21.3732758267
249	457.868569437	-1377.63982334	-1089.06777334	361.187779787	-1414.17364612	-1088.03520623	-96.6807896494	-36.5338227838	1.03256710765
250	474.549822176	-1333.70470526	-1072.89715458	550.953312936	-1261.65714719	-1024.54401392	76.4034907599	72.0475580663	48.3531406635
251	490.330098687	-1291.02943371	-1056.93946543	399.775118124	-1290.57671911	-1112.30818332	-90.5549805629	0.452714590918	-55.3687178865
252	505.254174439	-1249.56532015	-1041.19238414	603.902349049	-1347.39227156	-1017.26137917	98.6481746104	-97.826951407	23.931004971
253	519.364276621	-1209.26585003	-1025.65336687	595.019730338	-1226.29491684	-1071.27954139	75.6554537173	-17.0290668008	-45.626174523
254	532.700241194	-1170.08658197	-1010.31968106	548.483085466	-1086.86568089	-931.334392048	15.7828442715	83.2209010835	78.9852890171
255	545.299659839	-1131.98505098	-995.188435234	614.562441636	-1219.58168394	-1041.30791623	69.2627817967	-87.5966329662	-46.1194809943
256	557.19801743	-1094.92067553	-980.256605371	493.614271275	-1156.01009847	-961.367488453	-63.5837461547	-61.0894229426	18.8891169182
257	568.42882063	-1058.85466862	-965.521058471	485.724030542	-1015.97465752	-1024.21746782	-82.7047900886	42.8800110907	-58.69640935
258	579.023718185	-1023.74995263	-950.978573406	603.766274658	-1049.0080235	-931.626500013	24.7425564729	-25.2580708716	19.3520733932
259	589.012613427	-989.571078015	-936.625859427	539.806575854	-1051.36372437	-860.336502778	-49.2060375726	-61.7926463542	76.2893566488
260	598.423769527	-956.284145693	-922.459572556	591.667619487	-992.514213036	-986.963763501	-6.75615004046	-36.2300673422	-64.5041909448
261	607.283907946	-923.856733	-908.476330083	581.139688683	-868.989624712	-867.889368065	-26.1442192633	54.8671082872	40.5869620185
262	615.618300538	-892.257823162	-894.672723358	711.177805712	-959.435622857	-845.249123024	95.5595051734	-67.1777996952	49.4236003341
263	623.450855734	-861.457738122	-881.04532907	550.556102799	-898.250957168	-795.367678012	-72.8947529345	-36.7932190468	85.6776510574
264	630.804199185	-831.428074597	-867.590719161	601.499647862	-887.92707524	-883.76895693	-29.3045513225	-56.4990006425	-16.1782377699
265	637.699749251	-802.141643257	-854.305469522	572.63888698	-732.309876661	-866.683091897	-65.0608622704	69.8317665967	-12.3776223757
266	644.157787657	-773.572410881	-841.186167601	681.442500916	-781.212653382	-796.608019482	37.2847132595	-7.64024250076	44.5781481189
267	650.197525657	-745.695445374	-828.229419035	566.095832528	-843.587127786	-911.038758705	-84.1016931293	-97.8916824116	-82.8093396705
268	655.837165998	-718.48686351	-815.431853406	695.092255618	-772.58948171	-903.617902585	39.2550896192	-54.1026182005	-88.1860491783
269	661.093960963	-691.923781285	-802.79012923	578.328999243	-719.550836133	-753.260976574	-82.7649617196	-27.627054848	49.5291526563
270	665.984266754	-665.984266754	-790.300938234	618.262732791	-716.145338398	-858.172194133	-47.721533963	-50.1610716444	-67.8712558992
271	670.523594469	-640.647295231	-777.961009023	695.238126335	-619.202688271	-856.600379716	24.7145318662	21.4446069608	-78.6393706934
272	674.726657883	-615.892706748	-765.767110192	604.430798642	-694.591694833	-748.330592841	-70.2958592409	-78.6989880851	17.4365173505
273	678.607418261	-591.701165647	-753.716052935	597.938164054	-631.346412267	-835.125490593	-80.6692542068	-39.6452466196	-81.409437658
274	682.179126383	-568.054122219	-741.804693223	681.637258495	-653.816533014	-714.161198044	-0.541867888207	-85.7624107951	27.6434951786
275	685.454361986	-544.933776267	-730.029933585	715.298244975	-505.066703693	-780.818095183	29.8438829881	39.8670725744	-50.7881615989
276	688.445070774	-522.323042511	-718.388724539	737.97906526	-472.03084706	-793.423930221	49.5339944861	50.2921954508	-75.0352056825
277	691.162599165	-500.205517731	-706.878065719	616.074355034	-401.599955197	-636.556138628	-75.0882441314	98.6055625337	70.3219270911
278	693.617726924	-478.565449568	-695.49500672	761.304867857	-407.802025779	-666.501148925	67.6871409336	70.763423789	28.9938577951
279	695.820697815	-457.387706887	-684.236647705	738.60525898	-367.64929937	-742.347473862	42.7845611652	89.7384075174	-58.1108261572
280	697.781248408	-436.65775163	-673.10013979	614.382096953	-465.927081446	-684.282315454	-83.3991514553	-29.2693298162	-11.1821756641
281	699.508635153	-416.361612076	-662.082685249	684.617327582	-427.624522743	-723.156007191	-14.8913075708	-11.2629106672	-61.0733219422
282	701.011659832	-396.485857436	-651.181537541	768.477858487	-410.812079743	-597.922237955	67.4661986548	-14.3262223069	53.2592995859
283	702.298693511	-377.017573719	-640.394001198	682.84569483	-282.50429374	-644.244918871	-19.452998681	94.5132799789	-3.85091767262
284	703.377699057	-357.94434079	-629.717431575	628.976864352	-441.087477649	-536.407552905	-74.4008347053	-83.1431368588	93.3098786697
285	704.256252344	-339.254210567	-619.149234497	791.021051783	-398.477465824	-594.80121631	86.7647994394	-59.2232552569	24.3480181865
286	704.941562205	-320.935686298	-608.686865799	705.57527706	-404.311887951	-705.476186592	0.63371485541	-83.3762016529	-96.7893207924
287	705.440489226	-302.977702857	-598.327830791	773.656872923	-311.038093002	-583.694986213	68.2163836962	-8.06039014552	14.6328445779
288	705.759563452	-285.369608001	-588.069683634	717.783033676	-274.110908468	-653.426677986	12.0234702246	11.2586995332	-65.3569943522
289	705.905001057	-268.101144556	-577.91002667	695.30388333	-261.402607577	-567.170415688	-10.6011177274	6.69853697964	10.739610983
290	705.882720074	-251.162433459	-567.84650969	697.880605629	-267.144783085	-469.598599954	-8.00211444488	-15.9823496253	98.2479097364
291	705.698355209	-234.543957629	-557.876829152	690.022968246	-258.268502331	-500.552737116	-15.675386963	-23.7245447019	57.3240920353
292	705.357271819	-218.236546618	-547.998727369	636.47159589	-284.546902118	-547.456441033	-68.8856759285	-66.3103554999	0.542286335902
293	704.864579096	-202.231362002	-538.209991665	803.88765605	-133.574465918	-455.674938157	99.023076954	68.6568960837	82.5350535079
294	704.225142508	-186.519883469	-528.508453501	605.843339472	-108.42005812	-543.034612175	-98.3818030365	78.0998253491	-14.5261586737
295	703.443595538	-171.093895578	-518.891987582	636.852322445	-218.6796648	-554.263483543	-66.5912730932	-47.5857692224	-35.3714959603
296	702.524350768	-155.945475144	-509.358510953	742.237627678	-146.527268011	-568.974818397	39.7132769099	9.41820713328	-59.6163074438
297	701.471610346	-141.066979226	-499.905982076	743.890373298	-213.5199726	-431.195652113	42.418762952	-72.4529933746	68.7103299623
298	700.289375873	-126.451033673	-490.532399905	666.135437595	-87.4261052663	-442.065267254	-34.1539382774	39.0249284064	48.4671326508
299	698.981457739	-112.09052222	-481.235802957	617.047180029	-202.289061123	-406.523947161	-81.9342777093	-90.1985389026	74.7118557957
300	697.551483952	-97.978576089	-472.014268376	713.11113794	-139.249130807	-488.421064981	15.5596539882	-41.2705547183	-16.4067966054
301	696.002908479	-84.1085640731	-462.865911	742.20597132	-180.489804622	-433.488532621	46.203062841	-96.3812405492	29.3773783782
302	694.339019132	-70.4740830861	-453.788882433	608.728259052	-163.26917001	-427.50314201	-85.6107600801	-92.7950869239	26.2857404226
303	692.562945024	-57.0689491466	-444.781370122	768.613028657	-106.773602305	-394.916006828	76.0500836333	-49.7046531586	49.8653632935
304	690.677663621	-43.8871887777	-435.841596434	778.806006355	-85.2284213406	-412.100872605	88.1283427339	-41.3412325629	23.7407238291
305	688.686007414	-30.9230308022	-426.96781775	757.739892506	-89.3041148024	-454.968662916	69.0538850917	-58.3810840002	-28.0008451661
306	686.590670228	-18.1708985124	-418.15832356	617.452859288	21.1739515416	-398.613288863	-69.1378109408	39.344850054	19.5450346976
307	684.394213197	-5.62540219602	-409.411435575	691.909489267	40.6025801883	-440.502554445	7.51527606976	46.2279823843	-31.0911188692
308	682.099070409	6.71866799772	-400.725506844	616.803781493	6.94258969464	-350.957026829	-65.2952889157	0.223921696916	49.7684800152
309	679.707554258	18.8663488709	-392.098920885	765.539814448	43.5833421261	-320.035713339	85.8322601905	24.7169932553	72.0632075453
310	677.221860506	30.8225106822	-383.53009083	717.651979355	-5.73124784084	-428.883357172	40.4301188483	-36.553758523	-45.3532663419
311	674.644073075	42.5918633609	-375.017458584	706.853015457	76.8069507891	-309.769590903	32.2089423813	34.2150874282	65.2478676806
312	671.976168582	54.1789624426	-366.559493988	745.45615782	14.4235711578	-432.446452133	73.4799892376	-39.7553912848	-65.8869581452
313	669.220020633	65.5882147413	-358.154694006	712.271739596	-33.6162047189	-324.818074537	43.0517189629	-99.2044194602	33.3366194691
314	666.377403891	76.8238837684	-349.801581922	671.437902909	59.2118013537	-379.759345827	5.06049901791	-17.6120824148	-29.9577639048
315	663.449997925	87.8900949136	-341.498706551	700.612277779	123.803418024	-362.469688703	37.162279854	35.9133231102	-20.9709821516
316	660.439390852	98.7908403951	-333.244641459	571.743576829	180.764694598	-284.989359498	-88.6958140235	81.9738542025	48.2552819612
317	657.347082788	109.529983994	-325.037984206	676.13184365	102.36940628	-283.167754864	18.784760862	-7.16057771351	41.8702293422
318	654.174489113	120.111265578	-316.877355596	735.147517983	40.9067410432	-387.256752064	80.9730288704	-79.2045245352	-70.3793964676
319	650.922943558	130.538305433	-308.761398942	737.108623189	137.344735663	-271.568117441	86.1856796318	6.80643022994	37.1932815013
320	647.593701133	140.814608395	-300.688779346	576.930488973	83.184426511	-268.049260182	-70.6632121598	-57.6301818836	32.6395191648
321	644.187940891	150.943567813	-292.658182995	596.397601672	235.116765567	-388.85236295	-47.7903392191	84.1731977546	-96.1941799557
322	640.706768545	160.928469333	-284.66831646	714.574818246	75.4402965108	-363.955462575	73.8680497002	-85.4881728221	-79.2871461148
323	637.15121894	170.772494518	-276.717906025	728.449401794	209.535622128	-226.472355393	91.298182854	38.7631276105	50.2455506312
324	633.52225839	180.478724312	-268.805697008	594.729710219	114.408187785	-253.679210842	-38.7925481712	-66.0705365261	15.1264861669
325	629.820786891	190.050142352	-260.930453117	568.248799023	285.182673728	-275.391771681	-61.5719878677	95.1325313758	-14.4613185637
326	626.047640201	199.489638141	-253.090955799	591.366461387	103.726598911	-200.604638487	-34.681178814	-95.7630392296	52.486317312
327	622.203591813	208.800010073	-245.28600361	616.881198517	159.368583507	-309.16607335	-5.32239329653	-49.4314265662	-63.8800697398
328	618.28935481	217.983968341	-237.514411601	620.562643544	228.678167229	-153.699143598	2.27328873413	10.6941988888	83.8152680022
329	614.305583611	227.044137702	-229.775010703	616.028378171	275.864491953	-288.596062572	1.72279456	48.8203542514	-58.8210518683
330	610.252875622	235.983060138	-222.066647138	644.796145368	261.746228983	-151.218897854	34.5432697466	25.7631688443	70.8477492833
331	606.131772785	244.80319739	-214.388181824	577.024738896	214.019551456	-256.087636962	-29.1070338888	-30.7836459331	-41.6994551374
332	601.942763034	253.50693338	-206.738489809	516.301512249	186.876431591	-302.701713455	-85.6412507848	-66.6305017891	-95.9632236462
333	597.68628166	262.096576538	-199.116459697	625.51576491	282.094586342	-195.004017508	27.8294832496	19.9980098044	4.11244218895
334	593.362712592	270.574362014	-191.520993098	593.136606716	266.078502807	-287.929549494	-0.226105876158	-4.49585920765	-96.4085563962
335	588.972389598	278.942453799	-183.95100408	514.081655787	346.10346499	-264.794179725	-74.890733811	67.1610111904	-80.843175645
336	584.515597399	287.202946748	-176.405418632	654.613167614	254.877932005	-99.4287622775	70.0975702158	-32.3250147433	76.9766563542
337	579.992572715	295.357868515	-168.883174132	500.479822001	240.626899738	-149.985113227	-79.5127507138	-54.7309687765	18.8980609055
338	575.403505234	303.409181396	-161.383218834	505.889350187	265.085717879	-198.305991217	-69.5141550466	-38.3234635165	-36.9227723834
339	570.748538509	311.358784096	-153.904511348	538.997474601	305.416811306	-213.004189376	-31.7510639075	-5.94197278989	-59.0996780278
340	566.02777079	319.208513404	-146.446020142	498.404169217	329.66849475	-71.043978632	-67.6236015729	10.4599813465	75.4020415096
341	561.241255785	326.9601458	-139.006723038	537.078981244	395.305823513	-97.8843381659	-24.1622745412	68.345677713	41.1223848717
342	556.389003366	334.615398977	-131.585606728	497.715386273	422.925259437	-50.429661755	-58.673617093	88.3098604599	81.1559449731
343	551.4709802	342.175933298	-124.181666288	481.2969612	403.344390035	-51.151914385	-70.1740189996	61.1684567368	73.0297519031
344	546.487110331	349.643353177	-116.793904699	598.371740257	345.652539557	-156.028859203	51.8846299261	-3.99081362007	-39.2349545037
345	541.437275701	357.019208393	-109.421332377	584.218077006	325.992103321	-192.913151977	42.7808013054	-31.0271050727	-83.4918196009
346	536.321316609	364.304995341	-102.062966706	592.17001029	353.759167056	-74.8469334529	55.8486936809	-10.545828285	27.2160332533
347	531.139032121	371.502158212	-94.7178315805	469.273162117	352.707795009	-64.1929241827	-61.8658700042	-18.7943632032	30.5249073978
348	525.890180423	378.612090114	-87.3849569448	610.218277014	355.222679966	-120.802433587	84.328096591	-23.3894101483	-33.4174766421
349	520.574479119	385.636134138	-80.0633783453	435.581023247	325.345236156	-151.032616931	-84.9934558723	-60.2908979822	-70.9692385857
350	515.19160548	392.575584352	-72.7521364823	544.075713708	314.697762648	-94.1176518212	28.8841082274	-77.8778217045	-21.3655153389
351	509.741196642	399.431686751	-65.450276767	606.698351565	407.464398451	-125.994623727	96.9571549225	8.0327116997	-60.5443469602
352	504.222849751	406.20564014	-58.1568488819	496.287964271	480.956564813	-26.8160480025	-7.93488548003	74.7509246728	31.3408008794
353	498.636122062	412.898596971	-50.8709063445	423.322199579	363.11369877	-97.4733553684	-75.3139224835	-49.7848982002	-46.6024490239
354	492.980530986	419.511664115	-43.5915060741	569.873079326	354.966189403	-72.8927283565	76.8925483397	-64.5454747122	-29.3012222824
355	487.255554089	426.045903598	-36.3177079605	428.049673175	488.396108033	-124.219626704	-59.2058809149	62.3502044351	-87.9019187436
356	481.460629049	432.502333266	-29.048574436	528.118099955	402.68887354	-127.836198471	46.6574709058	-29.8134597251	-98.7876240353
357	475.595153554	438.881927414	-21.7831700484	515.993566146	477.523837357	-117.309744702	40.3984125919	38.6419099427	-95.5265746538
358	469.658485165	445.185617359	-14.5205610358	556.081484604	457.144733784	6.74781612337	86.4229994387	11.9591164251	21.2683771591
359	463.649941121	451.414291962	-7.25981490331	381.101345626	456.059685563	60.6619557903	-82.5485954947	4.64539360078	67.9217706936
